,Year,Yearly_Avg,Lower_CI,Upper_CI
1,2000,279.2082692,278.0292059,280.3873326
2,2001,271.3411969,270.3079586,272.3744352
3,2002,310.5601544,308.7993391,312.3209697
4,2003,364.0194208,361.3037166,366.7351251
5,2004,409.7872692,407.5432779,412.0312605
6,2005,445.3918462,442.0463888,448.7373035
7,2006,605.0349807,600.2722412,609.7977201
8,2007,696.8740927,689.7243628,704.0238225
9,2008,872.1748276,864.0854837,880.2641714
10,2009,973.5967308,963.1561013,984.0373603
11,2010,1226.561731,1214.571185,1238.552277
12,2011,1572.721808,1554.668953,1590.774662
13,2012,1668.723154,1661.021168,1676.42514
14,2013,1410.863861,1392.865423,1428.862299
15,2014,1266.553629,1260.401527,1272.705731
16,2015,1160.3145,1153.344177,1167.284823
17,2016,1248.364828,1239.421206,1257.308449
18,2017,1258.418231,1254.201824,1262.634638
19,2018,1268.543202,1261.675834,1275.410569
